* = compulsory to fill in,,,,Metadata,,Target and language,,,,,,,Data Source,,,,,,Model (not in generalisation),,Model performance,,,,,,,,,,Ethical considerations,,Metadata (not in generalisation),,,,,,Access (not in generalisation),
,Compulsory,Compulsory,,Compulsory,Compulsory,Compulsory,Compulsory,Compulsory,Compulsory,,,Compulsory,,,Compulsory,,Compulsory,Compulsory,Compulsory,Compulsory,Compulsory,,,,,,,,,,,Compulsory,,,,,,Compulsory,Compulsory,Compulsory
worry_select_gad7_roberta23_gu2024,anxiety,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,GAD-7,English,Probed (select words),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.67,-,,0.75,-,-,-,Spearman: .78 / MAE: 3.59 / RMSE: 4.50,,Ethics Application 2020-00738,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/worryselect_robertaL23_gad7_Gu2024.rds,text-trained
worry_words_gad7_roberta23_gu2024,anxiety,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,GAD-7,English,Probed (write words),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.67,-,,0.65,-,-,-,Spearman: .68 / MAE: 4.12 / RMSE: 5.06,,Ethics Application 2020-00739,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/worryword_robertaL23_gad7_Gu2024.rds,text-trained
worry_phrases_gad7_roberta23_gu2024,anxiety,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,GAD-7,English,Probed (write phrases),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.62,-,,0.66,-,-,-,Spearman: .69 / MAE: 4.34 / RMSE: 5.04,,Ethics Application 2020-00740,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/worryphrase_robertaL23_gad7_Gu2024.rds,text-trained
worry_text_gad7_roberta23_gu2024,anxiety,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,GAD-7,English,Probed (write text),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.59,-,,0.63,-,-,-,Spearman: .67 / MAE: 4.58 / RMSE: 5.44,,Ethics Application 2020-00741,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/worrytext_robertaL23_gad7_Gu2024.rds,text-trained
worry_select_pswq_roberta23_gu2024,anxiety,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,PSWQ,English,Probed (select words),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.66,-,,0.72,-,-,-,Spearman: .68 / MAE: 10.00 / RMSE: 12.32,,Ethics Application 2020-00742,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/worryselect_robertaL23_pswq_Gu2024_corrected.rds,text-trained
worry_words_pswq_roberta23_gu2024,anxiety,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,PSWQ,English,Probed (write words),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.66,-,,0.64,-,-,-,Spearman: .64 / MAE: 10.76 / RMSE: 13.51,,Ethics Application 2020-00743,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/worryword_robertaL23_pswq_Gu2024_corrected.rds,text-trained
worry_phrases_pswq_roberta23_gu2024,anxiety,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,PSWQ,English,Probed (write phrases),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.61,-,,0.67,-,-,-,Spearman: .61 / MAE: 10.82 / RMSE: 13.34,,Ethics Application 2020-00744,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/worryphrase_robertaL23_pswq_Gu2024_corrected.rds,text-trained
worry_text_pswq_roberta23_gu2024,anxiety,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,PSWQ,English,Probed (write text),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.59,-,,0.6,-,-,-,Spearman: .53 / MAE: 11.39 / RMSE: 14.56,,Ethics Application 2020-00745,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/worrytext_robertaL23_pswq_Gu2024_corrected.rds,text-trained
suicidalityrisk_suicidalitytext_mixedbread23_gu2025,suicidality risk,development,,"Gu et al., 2025",zhuojun.gu.se@gmail.com,best-estimate-assessed suicidality risk,English,Probed (suicidality description),Person,641,150,Prolific,"Development set: 641 submitted surveys of 319 unique participants (females = 200, males = 116; Gender variant/Non-conforming = 3, Other = 0). The average age of this sample is 39.71(SD = 15.77; range =  18 – 86) years. ","Holdout set: 150 unique participants (females = 78, males = 68; Gender variant/Non-conforming = 2, Other = 2). The average age of this sample is 40.25 (SD = 12.83; range =  20 – 69) years.",self-report,No,No,Not yet,ridge regression,mixedbread-ai/mxbai-embed-large-v1 L23,Pearson r,0.51,,,0.57,,,,Spearman: .59 / MAE: .29 / RMSE: .45,,,,2025,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/suicide_2024/suicidalityrisk_suicidalitytext_mixedbread23_gu2025.rds,text-trained
selfharmrisk_selfharmtext_mixedbread23_gu2025,self-harm risk,development,,"Gu et al., 2025",zhuojun.gu.se@gmail.com,best-estimate-assessed self-harm risk,English,Probed (self-harm description),Person,641,150,Prolific,"Development set: 641 submitted surveys of 319 unique participants (females = 200, males = 116; Gender variant/Non-conforming = 3, Other = 0). The average age of this sample is 39.71(SD = 15.77; range =  18 – 86) years. ","Holdout set: 150 unique participants (females = 78, males = 68; Gender variant/Non-conforming = 2, Other = 2). The average age of this sample is 40.25 (SD = 12.83; range =  20 – 69) years.",self-report,No,No,Not yet,ridge regression,mixedbread-ai/mxbai-embed-large-v1 L23,Pearson r,0.47,,,0.65,,,,Spearman: .54 / MAE: .25 / RMSE: .36,,,,2025,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/suicide_2024/selfharmrisk_selfharmtext_mixedbread23_gu2025.rds,text-trained
valence_text_mixedbread23_bang2025,valence,development,,"Bång et al., 2025",zhuojun.gu.se@gmail.com,valence,English,word,Message,13915,,,,,,,,,ridge regression,mixedbread-ai/mxbai-embed-large-v1 L23,Pearson r,0.83,,,,,,,,,Dnr 2021-06693-01,Swedish Ethical Review Authority,2025,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/MIP_2025/valence_text_mixedbread23_bang2025.rds,text-trained
basicemotions_text_mixedbread23_bang2025,basic emotions of Plutchik's ,development,,"Bång et al., 2025",zhuojun.gu.se@gmail.com,"basice motions: anger, anticipate, disgust, fear, joy, sadness, surprise, trust",English,"word, phrases",Message,10743,,,,,,,,,Multinomial classification,mixedbread-ai/mxbai-embed-large-v1 L23,AUC (hand_till),0.83,,,,,,,,,Dnr 2021-06693-01,Swedish Ethical Review Authority,2025,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/MIP_2025/basicemotions_text_mixedbread23_bang2025.rds,text-trained
valence_facebook_roberta23_eijsbroek2024,valence,development,,"Eijsbroek et al., 2024",veerle.eijsbroek@gmail.com,Mean Valence Annotation ,English,Facebook status updates,Person,2893,,,US,,Annotation,No,,,ridge regression,roberta L23,Pearson r,0.81,-,,,,,,,,,,2024,open,Yes,,,construct_languagetype_feature_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/Valence/Facebook_RoBERTaLarge_ValenceModel.rds,text-trained
valence_facebook_mxbai23_eijsbroek2024,valence,development,,"Eijsbroek et al., 2024",veerle.eijsbroek@gmail.com,Mean Valence Annotation ,English,Facebook statuts updates,Person,2893,,,US,,Annotation,No,,,ridge regression,mixedbread-ai/mxbai-embed-large-v1,Pearson r,0.82,,,,,,,,,,,2024,open,Yes,,,consruct_languagetype_feature_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/Valence/Facebook_mxbai_ValenceModel.rds,text-trained
implicitpower_roberta23_nilsson2024,implicit need for power,development,original development,"Nilsson et al., 2024",august.nilsson1907@gmail.com,PSE implicit need for power,English (translated from German using deepl),Stories (Picture story exercise),Sentence (but textPredict aggregates to person level if you have a participant_id),85028,20744,Open database,German and Swiss,German and Swiss,Coded by experts,,https://www.psycharchives.org/en/item/8b13c82b-1c31-481a-b4be-0d5779d87033,https://osf.io/4mdw2/files/osfstorage,ridge logistic regression,roberta L23,ICC (person level),0.86,0.87,0.78,,Pearson r (person level) = 0.78,Pearson r (person level) = 0.78,Pearson r (person level) = 0.68,,Agreement between at least 2/3 new human annotators and model when model disagreed with the old annotators 83%,,"Given the study’s use of open archival data, ethical approval was not requested.",2024,open,Yes,N = sentence level; Data source = https://www.tandfonline.com/doi/pdf/10.1080/00223891.2020.1726936?casa_token=bBhc32aBxNEAAAAA:FjI5YQfPqImedOkpN2-yB_QSRej528vn9PkyJGTqZ2DdzH9c4QjM7Gq2XiYzCFhM3FacA8i_oPH4uPk ,"textPredict(texts = data$text, model_info = ""implicitpower_roberta23_nilsson2024"", participant_id = data$participant_id, dataset = data)",construct_llm_layer_reference,https://github.com/AugustNilsson/Implicit-motive-models/raw/main/schone_training_rob_la_l23_to_power_open.rds,implicit-motives
implicitpower_roberta_ft_nilsson2024,implicit need for power,development,original development,"Nilsson et al., 2024",august.nilsson1907@gmail.com,PSE implicit need for power,English (translated from German using deepl),Stories (Picture story exercise),Sentence (but textPredict aggregates to person level if you have a participant_id),85028,20744,Open database,German and Swiss,German and Swiss,Coded by experts,,https://www.psycharchives.org/en/item/8b13c82b-1c31-481a-b4be-0d5779d87033,https://osf.io/4mdw2/files/osfstorage,domain fine-tuned,fine-tuned roberta L23,ICC (sentence level/person level),No CV,0.65 / 0.90,.. /0.84,,,"Pearson r (person level) = 0.83
(Sentence level) = 0.67",Pearson r (person level) = 0.74,,"Agreement between at least 2/3 new human annotators and model when model disagreed with the old annotators
83%",,"Given the study’s use of open archival data, ethical approval was not requested.",2024,open,Yes,N = sentence level; Data source = https://www.tandfonline.com/doi/pdf/10.1080/00223891.2020.1726936?casa_token=bBhc32aBxNEAAAAA:FjI5YQfPqImedOkpN2-yB_QSRej528vn9PkyJGTqZ2DdzH9c4QjM7Gq2XiYzCFhM3FacA8i_oPH4uPk ,"textPredict(texts = data$text, model_info = ""implicitpower_roberta_ft_nilsson2024"", participant_id = data$participant_id, dataset = data)",construct_llm_finetuned_reference,theharmonylab/implicit-motives-power-roberta-large,implicit-motives
implicitpower_germanbert11_nilsson2024,implicit need for power,development,original development,"Nilsson et al., 2024",august.nilsson1907@gmail.com,PSE implicit need for power,German,Stories (Picture story exercise),Sentence (but textPredict aggregates to person level if you have a participant_id),85028,20744,Open database,German and Swiss,German and Swiss,Coded by experts,,https://www.psycharchives.org/en/item/8b13c82b-1c31-481a-b4be-0d5779d87033,https://osf.io/4mdw2/files/osfstorage,ridge logistic regression,roberta L23,ICC (person level),0.84,0.85,,,Pearson r (person level) = 0.75,Pearson r (person level) = 0.77,,,,,"Given the study’s use of open archival data, ethical approval was not requested.",2024,open,Yes,N = sentence level; Data source = https://www.tandfonline.com/doi/pdf/10.1080/00223891.2020.1726936?casa_token=bBhc32aBxNEAAAAA:FjI5YQfPqImedOkpN2-yB_QSRej528vn9PkyJGTqZ2DdzH9c4QjM7Gq2XiYzCFhM3FacA8i_oPH4uPk ,"textPredict(texts = data$text, model_info = ""implicitpower_germanbert11_nilsson2024"", participant_id = data$participant_id, dataset = data)",construct_llm_layer_reference,https://github.com/AugustNilsson/Implicit-motive-models/raw/main/schone_training_ger_be_l11_to_power_open.rds,implicit-motives
implicitpower_roberta23_previoussentence_nilsson2024,implicit need for power,development,extension of implicitpower_roberta23_nilsson2024 with context of previous sentence,"Nilsson et al., 2024",august.nilsson1907@gmail.com,PSE implicit need for power,English (translated from German using deepl),Stories (Picture story exercise),Sentence with context of previous sentence (but textPredict aggregates to person level if you have a participant_id),85028,20744,Open database,German and Swiss,German and Swiss,Coded by experts,,https://www.psycharchives.org/en/item/8b13c82b-1c31-481a-b4be-0d5779d87033,https://osf.io/4mdw2/files/osfstorage,ridge logistic regression,roberta L23,ICC (person level),0.86,0.87,0.77,,Pearson r (person level) = 0.78,Pearson r (person level) = 0.79,Pearson r (person level) = 0.67,,,,"Given the study’s use of open archival data, ethical approval was not requested.",2024,open,Yes,N = sentence level; Data source = https://www.tandfonline.com/doi/pdf/10.1080/00223891.2020.1726936?casa_token=bBhc32aBxNEAAAAA:FjI5YQfPqImedOkpN2-yB_QSRej528vn9PkyJGTqZ2DdzH9c4QjM7Gq2XiYzCFhM3FacA8i_oPH4uPk ,"textPredict(texts = data$text, model_info = ""implicitpower_roberta23_previoussentence_nilsson2024"", participant_id = data$participant_id, dataset = data)",construct_llm_layer_previoussentence_reference,https://github.com/AugustNilsson/Implicit-motive-models/raw/main/schone_training_rob_la_l23_to_power_open_previous_sentence.rds,implicit-motives
implicitachievement_roberta23_nilsson2024,implicit need for achievement,development,original development,"Nilsson et al., 2024",august.nilsson1907@gmail.com,PSE implicit need for achievement,English (translated from German using deepl),Stories (Picture story exercise),Sentence (but textPredict aggregates to person level if you have a participant_id),85028,20744,Open database,German and Swiss,German and Swiss,Coded by experts,,https://www.psycharchives.org/en/item/8b13c82b-1c31-481a-b4be-0d5779d87033,https://osf.io/4mdw2/files/osfstorage,ridge logistic regression,roberta L23,ICC (person level),0.83,0.85,0.87,,Pearson r (person level) = 0.74,Pearson r (person level) = 0.76,Pearson r (person level) = 0.78,,"Agreement between at least 2/3 new human annotators and model when model disagreed with the old annotators
83%",,"Given the study’s use of open archival data, ethical approval was not requested.",2024,open,Yes,N = sentence level; Data source = https://www.tandfonline.com/doi/pdf/10.1080/00223891.2020.1726936?casa_token=bBhc32aBxNEAAAAA:FjI5YQfPqImedOkpN2-yB_QSRej528vn9PkyJGTqZ2DdzH9c4QjM7Gq2XiYzCFhM3FacA8i_oPH4uPk ,"textPredict(texts = data$text, model_info = ""implicitachievement_roberta23_nilsson2024"", participant_id = data$participant_id, dataset = data)",construct_llm_layer_reference,https://github.com/AugustNilsson/Implicit-motive-models/raw/main/schone_training_rob_la_l23_to_achievement_open.rds,implicit-motives
implicitachievement_roberta_ft_nilsson2024,implicit need for achievement,development,original development,"Nilsson et al., 2024",august.nilsson1907@gmail.com,PSE implicit need for achievement,English (translated from German using deepl),Stories (Picture story exercise),Sentence (but textPredict aggregates to person level if you have a participant_id),85028,20744,Open database,German and Swiss,German and Swiss,Coded by experts,,https://www.psycharchives.org/en/item/8b13c82b-1c31-481a-b4be-0d5779d87033,https://osf.io/4mdw2/files/osfstorage,domain fine-tuned,fine-tuned roberta L23,ICC (sentence level/person level),No CV,0.70 / 0.88,.. /0.87,,,"Pearson r (person level) = 0.80
(Sentence level) = 0.70",Pearson r (person level) = 0.79,,"Agreement between at least 2/3 new human annotators and model when model disagreed with the old annotators
96%",,"Given the study’s use of open archival data, ethical approval was not requested.",2024,open,Yes,N = sentence level; Data source = https://www.tandfonline.com/doi/pdf/10.1080/00223891.2020.1726936?casa_token=bBhc32aBxNEAAAAA:FjI5YQfPqImedOkpN2-yB_QSRej528vn9PkyJGTqZ2DdzH9c4QjM7Gq2XiYzCFhM3FacA8i_oPH4uPk ,"textPredict(texts = data$text, model_info = ""implicitachievement_roberta_ft_nilsson2024"", participant_id = data$participant_id, dataset = data)",construct_llm_finetuned_reference,theharmonylab/implicit-motives-achievement-roberta-large,implicit-motives
implicitachievement_germanbert11_nilsson2024,implicit need for achievement,development,original development,"Nilsson et al., 2024",august.nilsson1907@gmail.com,PSE implicit need for achievement,German,Stories (Picture story exercise),Sentence (but textPredict aggregates to person level if you have a participant_id),85028,20744,Open database,German and Swiss,German and Swiss,Coded by experts,,https://www.psycharchives.org/en/item/8b13c82b-1c31-481a-b4be-0d5779d87033,https://osf.io/4mdw2/files/osfstorage,ridge logistic regression,roberta L23,ICC (person level),0.8,0.81,,,Pearson r (person level) = 0.72,Pearson r (person level) = 0.72,,,,,"Given the study’s use of open archival data, ethical approval was not requested.",2024,open,Yes,N = sentence level; Data source = https://www.tandfonline.com/doi/pdf/10.1080/00223891.2020.1726936?casa_token=bBhc32aBxNEAAAAA:FjI5YQfPqImedOkpN2-yB_QSRej528vn9PkyJGTqZ2DdzH9c4QjM7Gq2XiYzCFhM3FacA8i_oPH4uPk ,"textPredict(texts = data$text, model_info = ""implicitachievement_germanbert11_nilsson2024"", participant_id = data$participant_id, dataset = data)",construct_llm_layer_reference,https://github.com/AugustNilsson/Implicit-motive-models/raw/main/schone_training_ger_be_l11_to_achievement_open.rds,implicit-motives
implicitachievement_roberta23_previoussentence_nilsson2024,implicit need for achievement,development,extension of implicitachievement_roberta23_nilsson2024 with context of previous sentence,"Nilsson et al., 2024",august.nilsson1907@gmail.com,PSE implicit need for achievement,English (translated from German using deepl),Stories (Picture story exercise),Sentence with context of previous sentence (but textPredict aggregates to person level if you have a participant_id),85028,20744,Open database,German and Swiss,German and Swiss,Coded by experts,,https://www.psycharchives.org/en/item/8b13c82b-1c31-481a-b4be-0d5779d87033,https://osf.io/4mdw2/files/osfstorage,ridge logistic regression,roberta L23,ICC (person level),0.82,0.84,0.87,,Pearson r (person level) = 0.74,Pearson r (person level) = 0.76,Pearson r (person level) = 0.78,,,,"Given the study’s use of open archival data, ethical approval was not requested.",2024,open,Yes,N = sentence level; Data source = https://www.tandfonline.com/doi/pdf/10.1080/00223891.2020.1726936?casa_token=bBhc32aBxNEAAAAA:FjI5YQfPqImedOkpN2-yB_QSRej528vn9PkyJGTqZ2DdzH9c4QjM7Gq2XiYzCFhM3FacA8i_oPH4uPk ,"textPredict(texts = data$text, model_info = ""implicitachievement_roberta23_previoussentence_nilsson2024"", participant_id = data$participant_id, dataset = data)",construct_llm_layer_previoussentence_reference,https://github.com/AugustNilsson/Implicit-motive-models/raw/main/schone_training_rob_la_l23_to_achievement_open_previous_sentence.rds,implicit-motives
implicitaffiliation_roberta23_nilsson2024,implicit need for affiliation,development,original development,"Nilsson et al., 2024",august.nilsson1907@gmail.com,PSE implicit need for affiliation,English (translated from German using deepl),Stories (Picture story exercise),Sentence (but textPredict aggregates to person level if you have a participant_id),85028,20744,Open database,German and Swiss,German and Swiss,Coded by experts,,https://www.psycharchives.org/en/item/8b13c82b-1c31-481a-b4be-0d5779d87033,https://osf.io/4mdw2/files/osfstorage,ridge logistic regression,roberta L23,ICC (person level),0.88,0.89,0.9,,Pearson r (person level) = 0.80,Pearson r (person level) = 0.82,Pearson r (person level) = 0.82,,"Agreement between at least 2/3 new human annotators and model when model disagreed with the old annotators
83%",,"Given the study’s use of open archival data, ethical approval was not requested.",2024,open,Yes,N = sentence level; Data source = https://www.tandfonline.com/doi/pdf/10.1080/00223891.2020.1726936?casa_token=bBhc32aBxNEAAAAA:FjI5YQfPqImedOkpN2-yB_QSRej528vn9PkyJGTqZ2DdzH9c4QjM7Gq2XiYzCFhM3FacA8i_oPH4uPk ,"textPredict(texts = data$text, model_info = ""implicitaffiliation_roberta23_nilsson2024"", participant_id = data$participant_id, dataset = data)",construct_llm_layer_reference,https://github.com/AugustNilsson/Implicit-motive-models/raw/main/schone_training_rob_la_l23_to_affiliation_open.rds,implicit-motives
